出走馬T.競走コード,馬番,枠番,異常区分コード,単勝人気,入線順位,確定着順,馬券評価順位,予想タイム指数,予想タイム指数順位,得点,デフォルト得点,デフォルト得点順位,得点V1,得点V1順位,得点V2,得点V2順位,得点V3,得点V3順位,得点V1順位逆数,得点V2順位逆数,得点V3順位逆数,三連単用得点,三連単用馬券評価順位,血統距離評価,血統トラック評価,血統成長力評価,血統総合評価,血統距離評価B,血統トラック評価B,血統成長力評価B,血統総合評価B,予想タイム偏差値,過去5走最高タイム指数,前走レースレベル,前走レースレベル順位,先行指数,先行率,先行指数順位,予想展開,予想タイム指数回帰推定値,予想タイム指数回帰推定値順位,血統登録番号,性別コード,近走競走コード1,近走馬番1,近走競走コード2,近走馬番2,近走競走コード3,近走馬番3,近走競走コード4,近走馬番4,近走競走コード5,近走馬番5,次走競走コード,次走馬番,休養週数,休養後出走回数,単勝配当,複勝配当,単勝オッズ,単勝支持率,複勝オッズ1,複勝オッズ2,単勝推定オッズ,複勝推定オッズ,連対推定オッズ,予想オッズ,予想人気,クラス変動,騎手コード,騎手所属場コード,見習区分,騎手評価,調教師評価,枠順評価,脚質評価,キャリア,馬齢,調教師コード,負担重量,馬体重,馬体重増減,距離増減,前走着順,前走人気,前走着差,前走トラック種別コード,前走馬体重,前走頭数,タイム指数上昇係数,タイム指数回帰推定値,タイム指数回帰標準偏差,斤量比,前走休養週数,騎手ランキング,調教師ランキング,馬単合成オッズ,過程値a,過程値b,調節値,勝率,充足率,父繁殖登録番号,母繁殖登録番号,父繁殖馬生年,母繁殖馬生年,父出産年齢,母出産年齢,母血統登録番号,母平地収得賞金累計,母評価,馬番判定,過程値,レースT.競走コード,距離,トラック種別コード,主催者コード,競走番号,場コード,グレードコード,競走種別コード,競走条件コード,競走条件名称,トラックコード,頭数,天候コード,馬場状態コード,予想勝ち指数,初出走頭数,人気馬得点1,人気馬支持率1,人気馬馬券評価順位1,人気馬得点2,人気馬支持率2,人気馬馬券評価順位2,人気馬得点3,人気馬支持率3,人気馬馬券評価順位3,予想決着指数,投票フラグ,波乱度,タイム指数誤差,登録頭数,回次,日次,タイム指数FB補正量,タイム指数FB頭数,一番人気予想展開,平均得点,得点標準偏差,平均予想タイム指数,予想タイム標準偏差,レースレベル,予想タイム指数平均値a,予想タイム指数平均値b,最低勝率,過程値合計,過程値b合計,勝率標準偏差,レース充足率
22201050601,1,1,0,15,11,11,16,49.97406,16,29,40,16,-3,15,-2,16,39,16,2,1,1,31,16,51,55,61,54,44,34,32,31,32,49,52,7,26.09021,0.5625,15,4,58,12,2019102173,2,22111060501,13,22110170504,1,0,0,0,0,0,0,22203260601,8,8,2,0,0,258.1,0.003099574,54.8,84.3,258.6,37.4,84.6,32.5,13,0,1177,0,3,43,30,39,10,2,3,1141,510,424,6,-100,8,13,23,1,418,15,6.334939,57.65055127,0,12.02830189,2,65,137,290.6,0,1,29,1,50,,,,,,,,,,1,437.7,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,14,7,0,14,12,12,15,54.74273163,13,32,43,15,-4,16,0,13,42,15,1,4,2,34,15,35,45,44,41,43,48,51,45,41,52,54,6,25.97836,0.875,16,4,49,13,2019102153,1,22111140501,13,22110310504,12,0,0,0,0,0,0,22201230603,8,7,2,0,0,239.2,0.003344482,38.4,59,286.7,42.2,95.3,26.8,12,0,1117,0,0,38,45,59,10,2,3,1024,560,444,2,-400,8,13,28,1,442,13,-2.799325,49.04709444,0,12.61261261,1,56,84,287.4,1,1,29,1,50,,,,,,,,,,2,7618.9,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,5,3,0,16,13,13,13,57.44444759,11,39,46,12,-1,12,4,9,46,9,4,8,8,45,8,32,55,40,49,49,47,47,45,46,54,58,1,40.57518,0.875,11,4,61,10,2019101943,2,22110230502,12,22110090501,3,22109250601,9,22107100306,8,0,0,22204170301,15,10,0,0,0,273.2,0.002928257,64.7,99.6,267.8,44.7,96.6,26.2,11,0,1029,0,0,27,52,39,10,4,3,1174,540,448,-2,-200,11,12,20,1,450,15,2.595297,60.77998388,148.2269,12.05357143,1,86,158,291,2,2,29,2,100,,,,,,,,,,1,21044.9,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,13,7,0,10,14,14,8,59.98787286,9,45,49,6,1,10,3,10,49,3,7,7,14,55,4,48,51,42,48,57,60,55,59,51,55,52,7,38.88889,1,12,4,60,11,2019105024,2,22110170505,15,0,0,0,0,0,0,0,0,22205070406,2,11,0,0,0,25.3,0.03162055,6.1,9.2,25.3,5.1,9.4,19.3,9,0,1122,0,0,39,47,59,10,1,3,1118,540,432,10,-200,8,7,10,0,422,18,0,0,0,12.5,0,16,65,23.1,4,4,29,4,25,,,,,,,,,,1,45286.3,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,12,6,0,13,15,15,11,54.9582937,12,41,47,10,-2,14,5,5,47,6,3,11,11,49,7,53,51,57,50,62,55,50,54,41,58,50,13,26.70043,0.75,14,4,38,16,2019104143,1,22110090501,10,22109200603,6,22107110201,7,22106190106,1,0,0,22201290505,8,12,0,0,0,67.9,0.01178203,12,18.3,85.2,13.3,28.7,23.3,10,0,1109,0,0,58,37,59,10,4,3,1109,560,464,24,-200,11,8,21,1,440,14,-8.6781,37.81850103,51.96317,12.06896552,2,68,139,73.7,1,1,29,1,100,,,,,,,,,,2,8346.8,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050601,3,2,0,11,16,16,12,52.22215455,15,41,44,14,7,6,5,6,44,14,11,11,3,40,13,48,51,42,48,48,42,40,39,36,49,51,10,73.81367,0.75,4,2,70,4,2019106127,2,22109110602,2,22108220405,14,0,0,0,0,0,0,22204175510,10,16,0,0,0,32.8,0.02439024,9.5,14.4,48.8,8.7,17.5,39.5,16,0,1178,0,0,48,56,39,90,2,3,1094,540,528,4,-400,12,6,14,0,524,16,15.18949,70.33636276,0,10.22727273,2,36,151,40.7,0,1,29,1,50,,,,,,,,,,1,2166.1,22201050601,1200,1,1,1,6,,12,703,3歳 未勝利,24,16,1,1,69.58627271,0,58,0.2162162,2,60,0.1290323,1,46,0.1269841,6,73.65885,0,2,0,16,1,1,0,0,3,48.8,7.87586,59.4,5.208466,61.2,59.4,59.4,0.6,1069025,103,,64
22201050602,4,2,4,13,0,0,16,46.2847619,14,27,39,15,-9,16,-2,14,38,15,1,3,1,29,16,51,51,57,50,53,47,47,45,41,52,46,14,26.2358,0.6875,11,4,31,16,2019102503,2,22112250604,5,22112120605,2,0,0,0,0,0,0,0,0,1,2,0,0,137,0.005839416,15,49,99.6,8.5,19.5,24.9,8,0,1181,0,1,40,48,47,10,2,3,1112,530,464,-2,0,7,5,31,1,466,13,-10.77141,31.43465435,0,11.42241379,1,28,76,94.2,0,1,49,1,50,,,,,,,,,,2,2519.4,22201050602,1800,1,1,2,6,,12,703,3歳 未勝利,24,16,1,1,69.50662928,0,59,0.5333334,1,40,0.1052632,7,55,0.09411765,2,72.04625,0,1,0,16,1,1,0,0,2,45.1,7.762087,53.2,7.969962,47.8,53.2,53.2,0.6,1935385,105,,59.3
22201050602,1,1,0,4,1,1,3,58.95399136,3,51,48,3,9,2,7,2,48,2,15,14,15,57,2,51,35,48,34,44,40,42,37,57,58,54,4,28.52556,0.3125,10,3,55,9,2019104958,2,22112190603,15,22111270503,8,22107040301,8,22106190505,7,0,0,22202130507,5,2,2,1510,280,15.1,0.05298013,2.5,7.1,15.1,2.4,3.7,23.2,5,0,1180,0,0,48,57,47,67,4,3,1094,540,484,6,0,9,13,12,0,478,16,-2.357149,55.43326702,0,11.15702479,2,18,151,15.4,8,8,49,8,100,,,,,,,,,,1,152271.7,22201050602,1800,1,1,2,6,,12,703,3歳 未勝利,24,16,1,1,69.50662928,0,59,0.5333334,1,40,0.1052632,7,55,0.09411765,2,72.04625,0,1,0,16,1,1,0,0,2,45.1,7.762087,53.2,7.969962,47.8,53.2,53.2,0.6,1935385,105,,59.3
22201050602,8,4,0,1,2,2,1,69.83737439,1,59,49,2,12,1,13,1,45,5,16,16,11,53,3,58,64,59,63,49,45,50,43,71,67,50,8,66.66666,0.1875,2,2,70,1,2019106690,2,22111210306,11,0,0,0,0,0,0,0,0,22202120901,8,6,1,0,110,1.5,0.5333334,1.1,1.1,1.4,1.2,1.2,1.5,1,0,1188,0,3,19,38,48,90,1,3,1023,510,490,-2,100,2,1,4,1,492,15,0,0,0,10.40816327,0,41,19,1.3,46,46,49,46,25,,,,,,,,,,2,881061.3,22201050602,1800,1,1,2,6,,12,703,3歳 未勝利,24,16,1,1,69.50662928,0,59,0.5333334,1,40,0.1052632,7,55,0.09411765,2,72.04625,0,1,0,16,1,1,0,0,2,45.1,7.762087,53.2,7.969962,47.8,53.2,53.2,0.6,1935385,105,,59.3
22201050602,10,5,0,3,3,3,2,63.11946587,2,55,50,1,4,4,5,5,50,1,10,12,16,59,1,53,61,54,60,41,47,45,44,62,57,51,5,28.57245,0.1875,9,3,63,3,2019105332,2,22107030201,2,22106200105,11,0,0,0,0,0,0,22201300503,8,26,0,0,220,8.5,0.09411765,1.9,5.2,10.5,2,2.9,37.4,14,0,1134,0,0,50,68,48,67,2,3,1038,540,462,0,600,6,5,7,0,462,10,0,0,0,11.68831169,1,89,5,10,17,17,49,17,50,,,,,,,,,,2,327345.1,22201050602,1800,1,1,2,6,,12,703,3歳 未勝利,24,16,1,1,69.50662928,0,59,0.5333334,1,40,0.1052632,7,55,0.09411765,2,72.04625,0,1,0,16,1,1,0,0,2,45.1,7.762087,53.2,7.969962,47.8,53.2,53.2,0.6,1935385,105,,59.3
